     100 files     200 files     300 files     376 text files.
classified 376 filesDuplicate file check 376 files (367 known unique)Unique:      100 files                                          Unique:      200 files                                          Unique:      300 files                                               376 unique files.                              
Counting:  100Counting:  200Counting:  300      55 files ignored.

http://cloc.sourceforge.net v 1.60  T=1.79 s (195.4 files/s, 22193.2 lines/s)
-----------------------------------------------------------------------------------------------------
File                                                              blank        comment           code
-----------------------------------------------------------------------------------------------------
Core/Resources/ZilchScript.h                                          9             10             18
Core/Systems/Serialization/JSONObject.cpp                             6             10             17
Core/Systems/Editor/MultiSelector.h                                   8              0             17
Core/Resources/ResourcesInclude.h                                     1             10             17
Core/Systems/Reflection/StringWrapper.h                               7              5             17
Core/Engine/ActionCall.cpp                                            6             29             17
Core/Events/MouseScroll.h                                             8             11             17
Core/Resources/CollisionGroup.h                                      10             10             16
Core/Systems/Editor/CameraControl.cpp                                 9              8             16
Core/EventsInclude.h                                                  2             18             16
Core/Systems/Editor/MultiSelector.cpp                                 9              0             16
Core/Binding/CoreBindingTypes.h                                       6             11             15
Core/Precompiled/Precompiled.h                                        8             38             15
Core/Engine/Ease.h                                                   15             31             15
Core/Resources/Texture.cpp                                            9             26             14
Core/Events/DispatchGameEvents.h                                      4             18             13
Core/Events/KeyUpEvent.h                                              8             11             13
Core/Objects/Module.cpp                                               5             22             13
Core/Systems/Editor/TransformTool.cpp                                12             12             13
Core/Systems/StateMachine/IState.h                                    4             27             13
Core/Events/MouseUp.h                                                 6             10             13
Core/Systems/Reflection/TypesMeta.cpp                                10              7             13
Core/Events/MouseDown.h                                               6             10             13
Core/Engine/SteeringBehaviors.h                                       2             11             13
Core/Systems/SystemsConfiguration.cpp                                 5              9             13
Core/Events/KeyDownEvent.h                                            8             11             13
Core/Events/GraphicsEvents.h                                          5             10             12
Core/Events/SpriteRegistrationEvent.h                                 8             10             12
Core/Objects/Module.h                                                 7              0             12
Core/Events/ScriptingEvents.h                                         5             10             12
Core/Objects/DebugDraw/DrawLine.h                                     5             10             12
Core/Objects/DebugDraw.h                                              8             10             11
Core/Systems/SystemsInclude.h                                         1              9             11
Core/Systems/Editor/EditorWindow.h                                    7              0             11
Core/Debug/DebugGraphics.h                                            6             10             11
Core/Binding/CoreBindingEnums.h                                       3             11             11
Core/Systems/Editor/EditorModulesInclude.h                            2              9             10
Core/Events/WindowEvents.h                                            6             10             10
Core/Systems/Audio/AudioFMOD_Utilities.cpp                            4              0              9
Core/Systems/Factory/ComponentFactoryMap.cpp                          6             50              9
Core/Systems/Editor/EditorResources.cpp                               8              0              8
Core/Systems/DirectoryWatcher/sha1.h                                  8             33              8
Core/Engine/MacrosEvents.h                                           14             22              7
Core/Systems/Reflection/ZilchInterfaceUtilities.h                     6              9              7
Core/Objects/DebugDraw/DrawRectangle.h                                5             10              7
Core/Objects/DebugDraw/DrawCircle.h                                   5             10              7
Core/Systems/Editor/TransformTool.h                                   4              0              6
Core/Resources/Material.h                                             8             10              6
Core/Objects/Entities/EntitiesInclude.h                               2             10              6
Core/Systems/System.cpp                                               3             10              5
Core/Engine/Event.cpp                                                 5             15              5
Core/Systems/DirectoryWatcher/SYSTEM.h                                4              1              5
Core/Objects/ObjectsInclude.h                                         3             10              5
Core/Systems/Serialization/SerializerJSONCPP.cpp                     17            108              5
Core/Systems/Editor/Editor.hpp                                        2             11              5
Core/Components/EngineReference.h                                     4             10              5
Core/Objects/DebugDraw/DebugDrawInclude.h                             2             10              4
Core/Systems/Reflection/TypesMeta.h                                   1              0              3
Core/Systems/Serialization/Serialization.cpp                          2             13              3
Core/Components/ComponentReference.h                                  1             10              3
Core/Engine/Delegate.cpp                                              3              0              3
Core/Engine/EventDelegate.cpp                                        10             87              3
Core/Binding/CoreBindingEvents.h                                      1             11              3
Core/Events/EventReference.h                                          1             10              2
Core/Systems/Editor/EditorToolsInclude.h                              1              1              2
Core/Binding.h                                                        0             10              2
Core/Resources/ResourceReference.h                                    1             10              2
Core/Engine/ZilchEvent.h                                              1             10              2
Core/Components/DebugDrawReference.h                                  1             10              2
Core/Testing.h                                                        0              9              1
Core/Binding/CoreBindingObjects.h                                     3             11              1
Core/Precompiled/Precompiled.cpp                                      2             12              1
Core/Systems/DirectoryWatcher/DirectoryWatcher.h                      0              1              0
-----------------------------------------------------------------------------------------------------
SUM:                                                               5733          13164          20856
-----------------------------------------------------------------------------------------------------
